Entity,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sint Maarten (Dutch part),1480,1596,1696,1786,1885,1993,2111,2226,2356,2491,2668,2908,3190,3501,3830,4181,4548,4952,5376,5817,6276,6755,7246,7774,8338,8929,9548,10197,10872,11565,12270,13158,14440,15948,17497,19088,20719,22419,24160,25973,27864,29846,31365,31846,31759,31619,31433,31212,30981,30739,30513,30424,30599,30897,31209,31519,31834,32157,32476,32783,33056,33336,35166,37722,39124,40228,41365,41901,42268,43002,43638,44061,44192
Slovakia,3465627,3524948,3591185,3659429,3727387,3796627,3867650,3936318,4002220,4064387,4124235,4185083,4235341,4277652,4322116,4363517,4400355,4433964,4463936,4492217,4522872,4557506,4597162,4641292,4688474,4737067,4786345,4835452,4883372,4930974,4973886,5011719,5048149,5082435,5115048,5146573,5175412,5201175,5224911,5245120,5261310,5280230,5301897,5321863,5338814,5349999,5358288,5365829,5371086,5374617,5376700,5376457,5375206,5374381,5374932,5376251,5377239,5378381,5381641,5388934,5396428,5402686,5409283,5414744,5419572,5424449,5431205,5439418,5446746,5453932,5456681,5447621,5643455
Slovenia,1445042,1458640,1472897,1488606,1505247,1521776,1538085,1554155,1569732,1584907,1599581,1613630,1627388,1641167,1655107,1669454,1684516,1699824,1714465,1728170,1741287,1754882,1769715,1785228,1800976,1817046,1833548,1850370,1867385,1884600,1901574,1916322,1927957,1937239,1945148,1952526,1959559,1966500,1973499,1980179,1986030,1989799,1991344,1991685,1991454,1991115,1990671,1989831,1988287,1986263,1984339,1982489,1983769,1989413,1996731,2004780,2013577,2023230,2034037,2045578,2057294,2065457,2069365,2072374,2074923,2080865,2090020,2098396,2105931,2112905,2117648,2119408,2119843
Solomon Islands,105227,107135,109328,111773,114461,117322,120300,123385,126665,130084,133453,136795,140267,143883,147626,151509,155530,159682,163986,168413,172849,177282,181890,186836,192169,197865,204090,210946,218202,225799,233681,241840,250262,258962,267920,277169,286534,295851,305141,314572,324184,333960,343929,354097,364510,375198,386084,397059,408151,419242,429986,440403,450773,461226,471796,482496,493438,504624,516010,527844,540402,553727,567771,582369,597386,612670,628110,643641,659259,675000,691198,707855,724272
Somalia,2213058,2276342,2339500,2402356,2465558,2529916,2595393,2662087,2729168,2798192,2870732,2945665,3022833,3102177,3183592,3267594,3353669,3441805,3532426,3625272,3720982,3818393,3918223,4022340,4125828,4228293,4333785,4449508,4777703,5408820,5892226,5934940,5951818,6142513,6369022,6630642,6908582,7158006,7160467,7035382,6999098,6732711,6428147,6620734,6959837,7210931,7472453,7734311,8056861,8384475,8721465,9070751,9411108,9758285,10117359,10467294,10784978,11118092,11444870,11730035,12026650,12216842,12440332,12852491,13309236,13763909,14292848,14864224,15411101,15981312,16537018,17065588,17597508
South Africa,13043843,13325058,13622914,13933250,14255876,14594134,14948935,15320140,15700877,16096459,16520438,16989468,17503138,18042222,18603100,19187198,19789772,20410682,21050540,21704214,22368306,23031448,23698512,24382514,25077016,25777966,26480298,27199844,27943454,28697016,29463546,30232564,31022418,31865176,32768206,33752964,34877840,36119328,37393848,38668684,39877568,40910964,41760756,42525444,43267980,43986088,44661608,45285052,45852172,46364680,46813272,47229712,47661516,48104044,48556064,49017156,49491764,49996096,50565816,51170780,51784928,52443320,53145036,53873608,54729556,55876504,56422272,56641208,57339632,58087060,58801928,59392256,59893884
South America,113520774,116611722,119808344,123095752,126483936,129986019,133605548,137348367,141190603,145148672,149224306,153377880,157609028,161919488,166291510,170706949,175135459,179569020,184011029,188469386,192947239,197461711,202046231,206713196,211454623,216251828,221111805,226098323,231226845,236454207,241789097,247206236,252673448,258200327,263760622,269320599,274880221,280447634,286026582,291601460,297146501,302601570,307967492,313302144,318637078,323946224,329199341,334414072,339583049,344665738,349634344,354475220,359177090,363705424,368126871,372502549,376788418,380966010,385031415,389045327,393078326,397135158,401166879,405147963,409128901,413134461,417101806,420982650,424740741,428318218,431530105,434254167,436816679
South Korea,20104016,20116896,20393376,20862402,21432886,22075012,22763458,23494054,24256850,25036094,25817530,26552230,27234476,27905876,28555858,29179406,29838228,30540604,31229640,31912022,32601146,33288372,33976860,34659716,35319340,35930700,36456328,36911304,37329988,37737924,38170500,38731908,39403428,40053744,40664360,41232700,41808708,42405260,42988456,43567516,44120040,44487412,44703708,44932856,45165784,45393416,45660164,45962392,46250260,46520448,46788588,47064784,47320664,47539740,47727288,47889576,48049348,48220600,48398632,48588024,48813036,49169880,49634188,50098228,50558044,50994396,51309984,51511640,51676900,51803832,51844688,51830136,51815808
South Sudan,2492083,2526078,2563626,2604571,2648686,2695354,2742982,2790018,2831375,2868505,2907727,2948958,2992277,3036245,3088706,3143625,3185304,3221963,3261734,3301894,3342414,3396817,3464720,3542466,3629614,3718282,3808618,3901047,3995916,4092801,4192017,4293874,4398300,4502536,4603043,4706980,4819664,4893811,4814885,4706630,4750824,4867193,4956976,5018174,5142865,5302053,5434896,5589417,5699437,5850149,6114443,6394433,6686105,6992367,7317127,7662659,8029516,8417830,8823896,9229234,9714425,10243057,10701605,11106037,11213286,11194300,11066116,10658230,10395332,10447677,10606224,10748278,10913172
Spain,28069696,28207082,28404774,28633540,28862382,29095376,29329782,29577444,29857444,30150510,30415594,30711868,31052630,31388554,31747644,32112016,32462272,32814224,33157582,33480508,33792624,34133624,34515176,34898152,35329900,35760432,36139072,36513080,36865440,37188964,37491664,37758648,37982144,38169764,38329928,38471924,38590808,38694532,38781724,38847320,38889888,38997064,39202248,39420540,39623732,39814568,39996476,40180048,40362356,40542232,40741652,40966448,41477652,42230268,42959672,43685372,44422824,45245784,45966544,46367772,46572776,46729232,46756084,46603460,46464548,46431344,46473320,46584168,46792044,47131372,47363808,47486932,47558632
Sri Lanka,7945979,8091463,8245472,8406914,8575077,8749630,8931093,9122983,9329673,9551289,9783874,10022896,10267069,10517538,10774088,11035228,11299725,11571012,11846820,12119211,12388767,12654656,12914457,13169738,13418276,13662872,13910170,14159059,14414817,14680394,14943644,15198920,15438754,15658448,15872577,16092339,16317998,16547143,16773736,16990582,17204098,17416596,17624462,17825610,18011746,18177570,18322504,18449120,18560806,18670408,18776374,18920278,19110706,19303182,19490434,19673866,19870706,20078652,20285640,20482484,20668556,20859746,21017150,21131762,21239448,21336692,21425494,21506816,21580712,21649664,21715076,21773438,21832150
Sudan,6191328,6379725,6574226,6773612,6979204,7193070,7413625,7638684,7860887,8086643,8326464,8577496,8841347,9115098,9406707,9712789,10014514,10320504,10638903,10966149,11305212,11668923,12057267,12469594,12950966,13497547,14066010,14667218,15305815,15973036,16673591,17404334,18128632,18734000,19165838,19517200,19887458,20230532,20453818,20718704,21090892,21453710,21780058,22163254,22703632,23290602,23862260,24454376,25029146,25634162,26298778,26947252,27570326,28188984,28831556,29540584,30332970,31191168,32065240,32948156,33739932,34419628,35159792,35990708,37003248,38171172,39377168,40679820,41999064,43232092,44440484,45657204,46874200
Suriname,195769,201005,207121,213490,220156,227154,234527,242331,250574,259270,268404,277977,288298,299339,310295,321082,332147,343635,355480,367625,379928,392039,397544,396348,394532,392140,389244,385818,381891,377373,375123,375865,377302,379421,382625,387181,392380,396873,402145,408374,412767,415988,419531,422384,426553,434497,443840,452895,461754,470469,479011,487402,495678,503786,510588,516228,522035,527958,533939,539996,546085,552154,558111,563952,569687,575478,581462,587566,593729,600305,607068,612989,618046
Svalbard and Jan Mayen,1428,,,,,,,,,,1587,,,,,,,,,,1764,,,,,,,,,,1960,,,,,,,,,,2178,,,,,,,,,,2420,2418,2416,2414,2412,2410,2408,2406,2404,2402,2400,2400,2400,2400,2400,2400,2400,2400,,,,,
Sweden,7014611,7068422,7119455,7169979,7217603,7264358,7312100,7358125,7403293,7449319,7492907,7536314,7582638,7632938,7691821,7755758,7819976,7882645,7937776,7983538,8027701,8073823,8117718,8156938,8193157,8224408,8246992,8265245,8281304,8296037,8311761,8326689,8340726,8355111,8371284,8389918,8411798,8438000,8468135,8504982,8548407,8594170,8640277,8683403,8723467,8758496,8785493,8807868,8828629,8848881,8871042,8896748,8926011,8961506,9004263,9051739,9104724,9164274,9229282,9301413,9381722,9467384,9555984,9648935,9747507,9849344,9953322,10058191,10162300,10267922,10368968,10467095,10549349
Switzerland,4692636,4748099,4811625,4875720,4938947,5002416,5065957,5130587,5196919,5263263,5328275,5434674,5574228,5694677,5789750,5857048,5918589,5992343,6068208,6136805,6181231,6213706,6261160,6307365,6341220,6338272,6302079,6280842,6281527,6294185,6319116,6353701,6390953,6418416,6441452,6469830,6503525,6544455,6592667,6646209,6711685,6795392,6873188,6936123,6991543,7038302,7069694,7086993,7108225,7142199,7182052,7224413,7276479,7330729,7381153,7428437,7475014,7541909,7638288,7734402,7822444,7910988,7995738,8088370,8187792,8281735,8372902,8451688,8514431,8575593,8638609,8691409,8740471
Syria,3543542,3620732,3703008,3791085,3886087,3989103,4099493,4216851,4341279,4472569,4610717,4751535,4895005,5045257,5202847,5368454,5542003,5723310,5912721,6111367,6319206,6538533,6768549,7003117,7244912,7497127,7758679,8029311,8310218,8600753,8898957,9203642,9510755,9835461,10183141,10540930,10907622,11281108,11657770,12034101,12409003,12782284,13156408,13537067,13922629,14313451,14708883,15104000,15500556,15901207,16307659,16727949,17164026,17611356,18084010,18583556,19432012,20703000,21474060,21827222,22337558,22730734,22605582,21495830,20072232,19205178,18964252,18983370,19333464,20098252,20772602,21324366,22125242
Taiwan,7623139,7934693,8251047,8572129,8897782,9229468,9567059,9909456,10256967,10612776,10983152,11371858,11779060,12200155,12630949,13070711,13515908,13917831,14271108,14617243,14957875,15292070,15617412,15933851,16243908,16551776,16860826,17171488,17482888,17793468,18100280,18400564,18692876,18976102,19249256,19511876,19761802,19995934,20211368,20404386,20586176,20770622,20952226,21125720,21293440,21455818,21612430,21764850,21913670,22057216,22194740,22333124,22469622,22593682,22703098,22796312,22874972,22942314,22998324,23044086,23083086,23143076,23234064,23330332,23422504,23512136,23594476,23665028,23726186,23777742,23821468,23859904,23893396
Tajikistan,1526142,1582469,1637713,1692883,1748472,1805217,1863794,1924953,1989609,2058900,2132000,2208033,2287185,2368877,2452677,2538305,2625661,2714957,2806576,2899856,2993019,3085969,3180467,3277492,3377764,3482127,3590608,3703014,3818120,3932689,4045966,4160746,4278909,4401499,4529500,4660608,4798283,4946298,5100020,5264333,5417862,5556315,5656216,5717815,5803992,5916183,6035605,6117066,6156815,6189567,6273001,6408813,6541758,6672497,6801206,6929153,7057425,7188397,7324633,7468603,7621785,7784820,7956383,8136612,8326354,8524066,8725326,8925529,9128131,9337008,9543211,9750078,9952789
Tanzania,7632405,7834804,8045282,8263716,8490326,8725581,8970011,9224222,9487677,9760173,10042467,10337892,10644625,10960163,11289560,11630608,11981936,12346291,12739969,13167787,13618190,14092217,14595704,15123510,15671323,16243823,16838920,17454628,18080016,18698646,19297660,19890932,20499924,21170722,21857182,22569634,23324272,24099424,24844152,25522898,26206024,26890906,27580728,28469018,29598330,30560072,31140730,31785852,32626500,33499776,34463704,35414464,36353528,37333916,38360884,39439508,40562056,41716500,42870888,43957940,45110532,46416032,47786136,49253648,50814552,52542824,54401804,56267040,58090444,59872584,61704520,63588332,65497752
Thailand,20411638,20914572,21443944,21994684,22569798,23173968,23805334,24462196,25135268,25840324,26596590,27399966,28242170,29114124,30013572,30940276,31883754,32839338,33807356,34787584,35791728,36807996,37834384,38873064,39900960,40908472,41882128,42843796,43806716,44760096,45737756,46727288,47700340,48670568,49636732,50594932,51542096,52479184,53410956,54324012,55228408,56099872,56939020,57776080,58610012,59424836,60211100,60989104,61745216,62442652,63066604,63649892,64222576,64776960,65311164,65821360,66319528,66826752,67328240,67813656,68270488,68712848,69157024,69578600,69960944,70294408,70607032,70898208,71127808,71307768,71475664,71601104,71697024
Timor,414793,418342,422544,427168,432133,437441,443044,448964,455182,461708,468582,475805,483330,491121,499141,507479,516199,525279,534653,544247,554030,563963,574023,584038,592282,600132,609653,619312,627678,634557,642230,649257,655121,662421,671382,682119,694257,707764,722694,739744,758120,772663,783708,795184,807119,819234,831272,843347,855421,866652,878367,893003,909648,926725,945993,969318,994573,1019369,1043085,1065543,1088492,1112985,1137683,1161558,1184842,1205822,1224568,1243238,1261850,1280442,1299998,1320944,1341298
Togo,1398532,1421236,1444762,1468985,1493743,1518835,1544394,1570542,1597143,1624132,1651372,1678796,1706845,1736703,1772655,1820401,1882464,1957169,2038772,2120491,2197384,2267214,2330709,2390915,2450343,2509720,2569673,2630637,2693399,2761249,2838115,2925873,3023347,3126633,3232246,3336512,3439376,3544933,3653426,3763661,3875958,3990223,4106228,4078396,4092613,4279573,4445892,4592557,4728298,4867949,5008043,5145430,5281548,5421000,5565213,5711605,5874244,6047539,6222491,6398626,6571862,6748675,6926634,7106238,7288381,7473232,7661361,7852799,8046680,8243093,8442583,8644829,8848700
Tokelau,1618,1598,1610,1628,1635,1652,1669,1694,1731,1768,1814,1870,1894,1897,1908,1917,1920,1890,1834,1788,1733,1680,1650,1644,1649,1644,1649,1658,1667,1669,1666,1660,1662,1683,1718,1756,1777,1771,1738,1713,1692,1679,1673,1670,1659,1656,1651,1651,1658,1671,1689,1703,1676,1608,1535,1452,1389,1363,1368,1376,1389,1406,1462,1522,1517,1480,1447,1512,1645,1775,1845,1869,1893
Tonga,49849,51312,52855,54492,56212,58043,59960,61836,63641,65517,67447,69405,71405,73460,75562,77702,79815,81746,83444,85011,86493,87923,89292,90627,92024,93490,94938,95868,96243,96524,96725,96861,96951,96996,97041,97074,97099,97408,97955,98397,98744,99031,99276,99507,99752,99995,100209,100670,101360,101995,102620,103224,103822,104426,105054,105644,106202,106651,106945,107159,107401,107625,107517,107105,106639,106140,105721,105430,105167,104965,105265,106034,106867
Trinidad and Tobago,648619,665289,682811,701369,721450,742582,763638,784575,805959,827142,847067,865031,881519,897667,913402,928470,942602,955688,967711,978647,988902,1000135,1013043,1026564,1040297,1054023,1067703,1081696,1096570,1112315,1127853,1142703,1157141,1171278,1184752,1199791,1216376,1231446,1244637,1256212,1266525,1276232,1285506,1293979,1301401,1307831,1313442,1318179,1322582,1327067,1332203,1338576,1345970,1353552,1361180,1369078,1376932,1384861,1392808,1401197,1410297,1420021,1430379,1440731,1450663,1460180,1469334,1478616,1504707,1519960,1518142,1525671,1531043
Tunisia,3606294,3673788,3744377,3818152,3894785,3975549,4046368,4091661,4123891,4157898,4195466,4236395,4281749,4332930,4389421,4457284,4548976,4661276,4785014,4915168,5047403,5182042,5320160,5463656,5613122,5769080,5930005,6092776,6254888,6416195,6578159,6744052,6914964,7091271,7279157,7476095,7675506,7874308,8068792,8256402,8440035,8622857,8802535,8977175,9143139,9294106,9430552,9557957,9677147,9788065,9893326,9995115,10094564,10193798,10292230,10388349,10483560,10580399,10680381,10784499,10895063,11032529,11174384,11300284,11428953,11557779,11685666,11811441,11933040,12049319,12161720,12262949,12356116
Turkey,20977698,21519608,22094504,22690584,23267966,23821346,24473658,25238754,26007696,26768164,27510982,28255008,29033646,29827882,30612824,31374540,32172782,33026492,33884076,34721988,35540988,36359956,37188036,38028236,38863424,39673588,40500996,41385656,42292208,43187472,44089068,44981876,45949992,47026424,48106772,49175680,50223888,51250156,52275892,53305236,54324140,55321172,56302040,57296008,58310244,59305492,60293784,61277420,62242200,63185620,64113548,65072016,65988664,66867324,67785080,68704712,69601328,70468864,71320728,72225648,73195352,74173856,75277440,76576120,78112064,79646176,81019400,82089824,82809304,83481688,84135432,84775408,85341248
Turkmenistan,1214109,1237250,1263432,1293177,1326522,1363509,1404221,1448677,1496709,1547947,1602052,1658580,1716868,1776392,1836628,1897096,1957561,2018029,2078588,2139568,2201432,2264440,2328376,2393333,2459332,2525761,2592282,2659022,2726330,2794399,2862908,2932936,3005975,3082203,3162167,3246888,3336772,3430503,3525116,3621309,3720287,3821784,3926374,4031701,4133044,4226625,4301092,4363678,4431523,4501087,4569135,4635100,4698972,4758992,4819793,4885780,4954032,5024897,5100089,5180961,5267975,5360813,5458688,5560099,5663159,5766427,5868568,5968388,6065072,6158424,6250442,6341850,6430777
Turks and Caicos Islands,5057,5072,5036,5015,5050,5145,5268,5369,5459,5557,5626,5649,5658,5656,5666,5674,5672,5687,5689,5684,5690,5768,5921,6091,6270,6476,6688,6907,7133,7350,7620,7980,8377,8782,9187,9599,10009,10423,10836,11249,11723,12354,13036,13726,14425,15123,15830,16541,17266,18008,18769,19600,20620,21764,22898,24019,25152,26292,27450,28601,29751,30840,32105,33620,35014,36556,38267,39865,41516,43104,44297,45141,45726
Tuvalu,4756,4878,4988,5082,5156,5217,5267,5311,5350,5385,5426,5460,5494,5529,5548,5571,5616,5677,5751,5801,5837,5875,5917,5953,6124,6404,6698,7007,7318,7575,7755,7894,8014,8123,8218,8355,8522,8683,8862,9039,9201,9378,9489,9543,9582,9607,9631,9654,9656,9661,9662,9640,9630,9693,9814,9933,10054,10168,10294,10427,10570,10719,10876,10942,10922,10896,10876,10850,10883,10983,11090,11229,11335
Uganda,5750643,5909826,6073827,6243886,6419889,6601783,6790149,6985798,7189283,7401289,7617751,7838441,8068828,8311016,8564759,8829059,9104744,9393432,9696375,10006532,10317218,10616344,10885572,11146108,11428675,11730966,12045233,12369257,12702007,13011519,13284030,13563562,13880059,14228930,14617950,15038924,15486815,15974224,16489326,17028548,17586634,18171944,18801968,19462960,20125026,20680834,21249570,21876938,22537658,23279246,24020710,24763328,25545098,26354740,27146082,27946586,28773230,29629804,30509868,31412526,32341724,33295738,34273296,35273568,36336544,37477356,38748308,40127096,41515400,42949076,44404608,45853780,47249588
Ukraine,37303000,37783280,38271728,38768516,39287992,39836516,40398812,40977532,41559368,42154896,42767252,43365224,43924756,44445912,44941408,45387092,45809132,46235376,46635196,46990888,47279088,47597756,47974192,48301548,48602696,48892180,49144536,49357432,49536616,49739736,49973920,50188920,50373636,50563952,50758848,50917392,51076744,51236432,51372376,51494548,51589816,51672816,51785152,51778420,51487376,51061268,50616104,50169352,49745868,49320116,48879752,48414536,47976540,47605644,47261960,46912616,46592552,46313064,46062936,45863884,45683024,45516136,45406228,45307104,45148072,44982568,44833568,44657260,44446952,44211100,43909664,43531424,39701744
United Arab Emirates,74613,79780,85111,90576,96153,101819,107581,113443,119619,126293,133440,140998,148892,157022,165324,173808,182526,191413,213593,253270,298096,344521,392377,441555,491963,543410,614187,706870,805241,908463,1014058,1100189,1167859,1237582,1308339,1379543,1468701,1575913,1683687,1791848,1900160,2008390,2116235,2223289,2329034,2434001,2572739,2746127,2921135,3097572,3275338,3454204,3633665,3813452,3993346,4280995,4898956,5872640,6988687,7992658,8481775,8575210,8664976,8751853,8835957,8916909,8994266,9068297,9140172,9211660,9287286,9365149,9441138
United Kingdom,50055068,50271908,50484812,50728620,50969936,51193272,51421616,51682404,51960820,52241648,52543024,52861256,53183636,53508520,53861504,54229568,54560504,54876360,55169252,55420524,55650160,55875904,56057324,56166632,56233776,56266852,56263232,56244844,56240768,56265152,56326328,56395848,56450132,56501616,56568252,56643040,56721912,56826320,56952648,57076096,57210444,57359452,57509240,57647464,57785900,57930364,58078584,58250192,58438320,58635204,58850044,59092016,59355688,59649800,59995852,60383740,60803700,61260680,61742152,62243384,62760048,63286360,63808728,64302296,64773504,65224368,65655204,66064808,66432996,66778660,67059472,67281040,67508936
United States,148281552,150598448,152941728,155451200,158205872,161136448,164063408,166949120,170147104,173324608,176188576,179087280,181917808,184649872,187277376,189703280,191830976,193782432,195743424,197859328,200328336,202907920,205238384,207314768,209277968,211274544,213270032,215437408,217881440,220463104,223140016,225654000,228001424,230389968,232766288,235146176,237512784,239853168,242287808,244954096,248083728,251560192,255175328,258779760,262273584,265660560,268984352,272395424,275835008,279181568,282398560,285470496,288350240,291109824,293947872,296842656,299753088,302743392,305694912,308512032,311182848,313876608,316651328,319375168,322033952,324607776,327210208,329791232,332140032,334319680,335942016,336997632,338289856
United States Virgin Islands,27100,27710,28091,28460,28877,29329,29823,30373,30974,31626,32883,35018,37572,40285,43132,46304,49722,53180,56635,60031,63464,67131,70912,74551,78012,81383,84723,88002,91159,94250,96654,98168,99412,100557,101460,101923,101934,101593,101129,100760,100699,100991,101546,102157,102653,103468,104648,105801,106879,107842,108199,108019,107742,107303,106758,106499,106531,106524,106493,106476,106154,105491,104780,104070,103393,102808,102330,101860,101377,100837,100452,100100,99479
Upper-middle-income countries,918865980,936488346,956135860,977180204,998585321,1021053483,1043522165,1067110863,1090929731,1109551013,1122079651,1134055566,1154442670,1184787557,1216528861,1246756365,1276824449,1305914467,1336327932,1368462120,1400588420,1432397676,1463253261,1493577365,1522998449,1550620448,1577158789,1602899568,1627539626,1652710622,1679054459,1706088992,1734572338,1763046849,1790931059,1819847676,1850542202,1883081918,1915432562,1946975318,1978674629,2007371520,2031690983,2054704372,2076865377,2097969970,2118266453,2137669038,2156208218,2174058070,2191949480,2209701540,2226823411,2243462002,2260098040,2276903910,2293429307,2309893739,2327278207,2345622340,2364144387,2382503938,2402146692,2423354868,2444604237,2464672367,2482967003,2500616723,2516785800,2530546049,2541463877,2548718303,2555055874
Uruguay,2234152,2256080,2280664,2307492,2336183,2366211,2397448,2429788,2462879,2496167,2529028,2561156,2592448,2622951,2652381,2680426,2707032,2731850,2754425,2773964,2790270,2805497,2821096,2836824,2853594,2871956,2891097,2909324,2925845,2940727,2953754,2966077,2979189,2993291,3008263,3024214,3041205,3058793,3077764,3097896,3117011,3135374,3153732,3171749,3189945,3208305,3226635,3245066,3262676,3278965,3292227,3300938,3306446,3310204,3313804,3317666,3322282,3328647,3336131,3344161,3352653,3361631,3371134,3381187,3391660,3402820,3413768,3422205,3427044,3428412,3429087,3426265,3422796
Uzbekistan,6247555,6408803,6576719,6754273,6941898,7141931,7356000,7582904,7824359,8085515,8372314,8692052,9038230,9394588,9758154,10130105,10504967,10881535,11261601,11641645,12011369,12370129,12733237,13107928,13494713,13894348,14307401,14731717,15154314,15558910,15947135,16335647,16735647,17152856,17594368,18063210,18560002,19077168,19600032,20102902,20579106,21074308,21588150,22085922,22564732,23026212,23465930,23877290,24256774,24602712,24925558,25248440,25579032,25905912,26234924,26573428,26926824,27309622,27726820,28167840,28614234,29057456,29503058,29963220,30446542,30949416,31453576,31945680,32449578,32976946,33526662,34081452,34627648
Vanuatu,51587,52444,53378,54428,55561,56785,58089,59546,61155,62847,64624,66475,68411,70417,72507,74690,76958,79331,81801,84372,87038,89812,92702,95709,98806,102018,105356,108785,112199,115359,118173,120901,123762,126760,129887,133135,136499,139975,143543,147197,150900,154694,158593,162564,166569,170623,174725,178879,183102,187450,192087,197043,202141,207274,212431,217642,222934,228359,233967,239700,245464,251309,257329,263547,269942,276450,283239,290250,297307,304414,311694,319146,326744
Vatican,906,883,883,890,899,900,909,908,905,905,904,904,901,898,877,853,814,766,711,670,649,645,661,685,708,724,730,730,725,722,725,723,725,730,733,740,747,751,754,759,762,762,773,780,777,778,784,787,786,788,790,792,792,792,795,798,795,794,792,787,783,786,786,786,785,790,791,798,810,815,809,812,808
Venezuela,5488619,5732110,5980388,6233187,6490133,6752147,7020082,7294509,7576744,7865132,8156941,8453112,8754089,9059957,9371338,9688144,10010689,10338851,10672653,11011332,11355474,11705678,12061627,12424811,12796220,13176391,13566119,13965256,14372959,14788520,15210441,15638431,16071654,16509603,16953240,17402310,17860872,18328660,18800774,19275300,19750580,20226212,20700462,21172098,21640830,22107288,22572114,23037560,23503816,23966964,24427732,24880210,25330926,25782032,26226930,26668790,27102084,27525096,27933836,28327896,28715026,29096158,29470428,29838022,30193260,30529722,30741464,30563430,29825652,28971686,28490458,28199862,28301700
Vietnam,25109200,25627542,26189598,26820860,27507460,28263032,29035684,29884094,30804086,31750430,32718462,33621980,34533888,35526728,36509172,37466076,38388220,39282564,40145292,41015868,41928848,42916624,43906020,44891288,45898700,46969616,48163580,49418144,50701460,51831392,52968272,54280400,55632152,57011452,58406864,59811316,61221108,62630788,64037520,65466360,66912616,68358824,69788752,71176408,72501088,73759112,74946456,76058600,77128424,78123712,79001144,79817768,80642304,81475816,82311232,83142096,83951800,84762272,85597232,86482920,87411016,88349104,89301328,90267736,91235504,92191400,93126528,94033048,94914328,95776712,96648680,97468024,98186856
Wallis and Futuna,8556,8831,9190,9549,9714,9637,9528,9380,9205,9019,8799,8555,8492,8642,8805,8910,8964,9056,9168,9295,9401,9482,9558,9633,9697,9743,9891,10192,10548,10928,11341,11764,12215,12533,12690,12815,12942,13066,13195,13335,13479,13618,13765,13924,14069,14199,14313,14412,14513,14617,14748,14872,15012,15059,14875,14574,14283,13985,13692,13418,13167,12926,12696,12496,12335,12208,12086,11961,11840,11735,11679,11654,11596
Western Sahara,13003,14289,15672,17186,18869,20712,22753,24984,27425,30115,33042,36220,39620,43223,47068,51226,55688,60579,65799,71140,76391,78741,78281,77677,76488,66887,64523,77494,90824,104604,116791,126063,133384,139269,144683,150210,155797,161367,167043,172757,178540,184300,189793,195137,200471,208394,219783,232108,244601,257302,270389,283815,297420,311190,325125,339195,353667,368440,383082,397918,413307,429296,445952,462761,478023,491837,505461,518867,532011,544883,556060,565590,576005
World,2499322112,2543130368,2590270976,2640278784,2691979264,2746072064,2801002752,2857866752,2916108032,2970292224,3019233536,3068370688,3126686720,3195779328,3267212288,3337112064,3406416896,3475448064,3546810880,3620655360,3695390208,3770163200,3844800768,3920251392,3995516928,4069437184,4142505728,4215772416,4289657600,4365582848,4444007936,4524627456,4607984640,4691884032,4775836160,4861730816,4950063104,5040984576,5132294144,5223704064,5316175872,5406245888,5492686336,5577433600,5660727808,5743219712,5825145344,5906481152,5987312640,6067758592,6148898816,6230747136,6312407552,6393898496,6475751424,6558176256,6641416192,6725948416,6811597312,6898306048,6985603072,7073125376,7161697792,7250593280,7339013632,7426597376,7513474048,7599822336,7683789824,7764951040,7840952832,7909295104,7975105024
Yemen,4712813,4782789,4855824,4931837,5010570,5091612,5175090,5260781,5349856,5443662,5542460,5646674,5753393,5860204,5973804,6097299,6228430,6368017,6515907,6673983,6843613,7024196,7215839,7417741,7630197,7855660,8094995,8348185,8615304,8899926,9204941,9529117,9872295,10237395,10625686,11036921,11465449,11915564,12387243,12872367,13375127,13895858,14433772,14988045,15553180,16103338,16614329,17108686,17608138,18114552,18628704,19143456,19660662,20188800,20733406,21320676,21966304,22641538,23329008,24029594,24743944,25475608,26223390,26984008,27753310,28516552,29274010,30034386,30790514,31546694,32284044,32981644,33696612
Zambia,2318453,2384835,2453523,2525032,2599545,2677214,2758240,2842810,2931135,3023348,3119431,3219454,3323429,3431384,3542767,3658035,3777687,3901290,4029172,4159016,4281679,4399922,4523591,4653293,4789047,4931253,5079676,5233300,5391352,5553471,5720442,5897489,6090821,6291082,6488077,6686453,6890973,7095185,7294325,7491279,7686405,7880472,8074342,8270921,8474215,8684139,8902025,9133160,9372432,9621248,9891140,10191966,10508294,10837971,11188044,11564874,11971571,12402078,12852968,13318094,13792095,14265824,14744662,15234976,15737796,16248231,16767758,17298056,17835898,18380478,18927716,19473132,20017670
